"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/9/2019 3 a.m. EST",369350,365477,359405,780
US48,"12/9/2019 4 a.m. EST",366430,363212,358370,1007
US48,"12/9/2019 5 a.m. EST",369869,369608,364358,810
US48,"12/9/2019 6 a.m. EST",382724,387386,379223,786
US48,"12/9/2019 7 a.m. EST",408956,413152,405154,964
US48,"12/9/2019 8 a.m. EST",435115,436193,427103,893
US48,"12/9/2019 9 a.m. EST",448193,448728,438980,322
US48,"12/9/2019 10 a.m. EST",457412,456518,447408,-169
US48,"12/9/2019 11 a.m. EST",462191,460139,452658,562
US48,"12/9/2019 12 p.m. EST",462371,459597,453678,1075
US48,"12/9/2019 1 p.m. EST",461870,457754,453642,1094
US48,"12/9/2019 2 p.m. EST",460233,455964,451968,1597
US48,"12/9/2019 3 p.m. EST",458771,454822,451096,1762
US48,"12/9/2019 4 p.m. EST",457547,455921,452480,2461
US48,"12/9/2019 5 p.m. EST",461438,462045,457856,2929
US48,"12/9/2019 6 p.m. EST",473213,471220,465478,2307
US48,"12/9/2019 7 p.m. EST",484006,478667,472276,2213
US48,"12/9/2019 8 p.m. EST",487031,480003,475671,1637
US48,"12/9/2019 9 p.m. EST",484006,474886,468418,290
US48,"12/9/2019 10 p.m. EST",471030,459374,454409,-108
US48,"12/9/2019 11 p.m. EST",450818,438094,433329,-354
US48,"12/10/2019 12 a.m. EST",427489,414349,414246,533
US48,"12/10/2019 1 a.m. EST",407844,396470,396383,616
US48,"12/10/2019 2 a.m. EST",391972,383730,380204,496
US48,"12/10/2019 3 a.m. EST",382387,374745,373051,1653
US48,"12/10/2019 4 a.m. EST",378423,371907,370500,1190
US48,"12/10/2019 5 a.m. EST",380961,378084,376372,1545
US48,"12/10/2019 6 a.m. EST",393191,396263,391511,2351
US48,"12/10/2019 7 a.m. EST",420001,423208,417084,2321
US48,"12/10/2019 8 a.m. EST",446265,448101,439845,2871
US48,"12/10/2019 9 a.m. EST",461015,461710,451465,1603
US48,"12/10/2019 10 a.m. EST",470419,470700,463729,2428
US48,"12/10/2019 11 a.m. EST",475326,475305,465233,1911
US48,"12/10/2019 12 p.m. EST",475845,474879,467967,2786
US48,"12/10/2019 1 p.m. EST",475240,472897,467949,2721
US48,"12/10/2019 2 p.m. EST",473981,470582,466816,3147
US48,"12/10/2019 3 p.m. EST",472225,468657,466060,2664
US48,"12/10/2019 4 p.m. EST",472431,468661,466689,2358
US48,"12/10/2019 5 p.m. EST",478426,475337,474310,2191
US48,"12/10/2019 6 p.m. EST",492925,487642,484734,1287
US48,"12/10/2019 7 p.m. EST",505497,499110,493464,526
US48,"12/10/2019 8 p.m. EST",511419,503849,499438,-152
US48,"12/10/2019 9 p.m. EST",510166,501481,494564,-105
US48,"12/10/2019 10 p.m. EST",499509,489039,482558,-93
US48,"12/10/2019 11 p.m. EST",481557,470339,466340,-396
US48,"12/11/2019 12 a.m. EST",461194,448197,438190,-401
US48,"12/11/2019 1 a.m. EST",443366,432529,429493,-882
US48,"12/11/2019 2 a.m. EST",432159,418187,420958,-532
US48,"12/11/2019 3 a.m. EST",426726,411260,416736,105
US48,"12/11/2019 4 a.m. EST",422140,410888,414805,1412
US48,"12/11/2019 5 a.m. EST",426976,419284,421870,1447
US48,"12/11/2019 6 a.m. EST",441703,440089,440394,1778
US48,"12/11/2019 7 a.m. EST",471612,469128,469670,961
US48,"12/11/2019 8 a.m. EST",501552,492850,494618,2107
US48,"12/11/2019 9 a.m. EST",514561,503056,502991,891
US48,"12/11/2019 10 a.m. EST",516073,504509,505998,844
US48,"12/11/2019 11 a.m. EST",509902,500273,499714,1126
US48,"12/11/2019 12 p.m. EST",500332,490735,490749,1298
US48,"12/11/2019 1 p.m. EST",490081,480774,479122,1173
US48,"12/11/2019 2 p.m. EST",482727,472910,473776,1441
US48,"12/11/2019 3 p.m. EST",475826,467669,470247,1656
US48,"12/11/2019 4 p.m. EST",474643,467871,470368,2178
US48,"12/11/2019 5 p.m. EST",481228,476275,479149,2388
US48,"12/11/2019 6 p.m. EST",501146,491667,494725,2142
US48,"12/11/2019 7 p.m. EST",519493,507446,510031,1629
US48,"12/11/2019 8 p.m. EST",528966,515651,518828,1393
US48,"12/11/2019 9 p.m. EST",526297,515702,516609,1666
US48,"12/11/2019 10 p.m. EST",521478,504568,506408,1448
US48,"12/11/2019 11 p.m. EST",503701,486383,490081,1434
US48,"12/12/2019 12 a.m. EST",484793,465162,464119,1344
US48,"12/12/2019 1 a.m. EST",463073,448055,451527,1248
US48,"12/12/2019 2 a.m. EST",448590,436670,437785,-380
US48,"12/12/2019 3 a.m. EST",441196,429967,431732,710
US48,"12/12/2019 4 a.m. EST",438654,429823,431224,1363
US48,"12/12/2019 5 a.m. EST",442531,438016,436849,1457
US48,"12/12/2019 6 a.m. EST",456950,457942,455484,1822
US48,"12/12/2019 7 a.m. EST",486546,485483,482948,1717
US48,"12/12/2019 8 a.m. EST",511290,506938,502647,1816
US48,"12/12/2019 9 a.m. EST",517351,512515,503782,1207
US48,"12/12/2019 10 a.m. EST",512964,508879,500255,336
US48,"12/12/2019 11 a.m. EST",502671,500263,491967,1237
US48,"12/12/2019 12 p.m. EST",490359,489076,478823,1052
US48,"12/12/2019 1 p.m. EST",479089,478744,469474,1137
US48,"12/12/2019 2 p.m. EST",471895,471067,462489,1076
US48,"12/12/2019 3 p.m. EST",467235,466824,458993,1658
US48,"12/12/2019 4 p.m. EST",466395,467348,459916,2494
US48,"12/12/2019 5 p.m. EST",526716,476790,470800,2362
US48,"12/12/2019 6 p.m. EST",491425,491563,483775,2693
US48,"12/12/2019 7 p.m. EST",505735,504861,494429,2944
US48,"12/12/2019 8 p.m. EST",511511,511300,499525,2319
US48,"12/12/2019 9 p.m. EST",511403,509121,497013,2020
US48,"12/12/2019 10 p.m. EST",501421,496712,484150,2241
US48,"12/12/2019 11 p.m. EST",482661,477104,466970,3394
US48,"12/13/2019 12 a.m. EST",462129,454259,453568,3725
US48,"12/13/2019 1 a.m. EST",441521,437146,429838,3041
US48,"12/13/2019 2 a.m. EST",428369,422675,416206,2963
US48,"12/13/2019 3 a.m. EST",418491,413941,408432,3137
US48,"12/13/2019 4 a.m. EST",414937,411520,404817,3243
US48,"12/13/2019 5 a.m. EST",415520,418311,407781,3060
US48,"12/13/2019 6 a.m. EST",425483,436663,421708,3166
US48,"12/13/2019 7 a.m. EST",450731,462572,446012,2609
US48,"12/13/2019 8 a.m. EST",475298,483384,466746,2748
US48,"12/13/2019 9 a.m. EST",486365,492155,477611,2046
US48,"12/13/2019 10 a.m. EST",491352,493868,480319,1739
US48,"12/13/2019 11 a.m. EST",490607,490386,480234,1437
US48,"12/13/2019 12 p.m. EST",484920,484056,474965,2788
US48,"12/13/2019 1 p.m. EST",477947,476704,467034,2088
US48,"12/13/2019 2 p.m. EST",472877,470417,462893,2126
US48,"12/13/2019 3 p.m. EST",468290,466576,458598,2052
US48,"12/13/2019 4 p.m. EST",465915,465956,457649,1270
US48,"12/13/2019 5 p.m. EST",469519,471452,463238,1664
US48,"12/13/2019 6 p.m. EST",479658,479988,467948,829
US48,"12/13/2019 7 p.m. EST",484773,485505,469677,500
US48,"12/13/2019 8 p.m. EST",484864,485455,469247,2612
US48,"12/13/2019 9 p.m. EST",480414,480759,461839,-967
US48,"12/13/2019 10 p.m. EST",469724,468302,451817,-1336
US48,"12/13/2019 11 p.m. EST",454596,450777,434387,-1024
US48,"12/14/2019 12 a.m. EST",436211,430737,425364,-957
US48,"12/14/2019 1 a.m. EST",419210,412805,403465,411
US48,"12/14/2019 2 a.m. EST",403810,399399,392462,2776
US48,"12/14/2019 3 a.m. EST",393404,390015,382096,2729
US48,"12/14/2019 4 a.m. EST",387220,384734,377332,2644
US48,"12/14/2019 5 a.m. EST",385926,385208,377319,2739
